info
36 58 52.28 99.9 green    male treatment 1990-04-04 2015-12-13
77 19 85.15 87.82 red    male control 1991-09-22 2015-08-24
96 14 87.62 103.04 black  female   control 1996-05-05 2016-07-07
17 28 67.41 114.9 black    male control 1979-09-01 2016-05-09
9 5 85.8 120.13 blue  female   treatment 1999-01-28 2016-07-31
38 45 62.41 72.02 green unspecified    treatment 1996-07-20 2015-06-29
65 55 77.86 130.25 blue unspecified    treatment 1995-09-01 2016-12-17
31 67 70.15 87.11 black  female   treatment 1985-04-18 2015-07-08
13 21 80.72 81.25 red    male treatment 1991-11-02 2016-12-25
84 22 62.08 75.19 black  female   control 1988-06-07 2016-08-12
46 17 72.92 79.82 black  female   treatment 1979-08-18 2016-06-05
58 34 58.41 122.35 yellow unspecified    treatment 1994-11-24 2016-09-05
25 51 81.69 85.35 yellow unspecified    control 1994-05-18 2016-11-22
68 33 48.51 132.81 green  female   control 1987-02-04 2016-06-21
75 3 82.12 125.17 yellow    male control 1983-06-06 2015-08-08
81 4 90 94.67 black unspecified    control 1996-11-29 2015-08-25
74 63 80.8 104.28 red  female   treatment 1992-02-06 2015-12-23
51 44 77.38 102.37 red    male control 1990-12-15 2016-10-29
6 60 85.93 95.4 red unspecified    treatment 1991-09-02 2015-10-14
62 65 77.65 97.44 yellow    male control 1983-06-10 2015-08-17
22 70 91.07 112.14 yellow  female   treatment 1981-01-02 2015-03-24
42 9 50.95 100.63 red unspecified    control 1995-05-16 2015-08-13
50 73 104.26 126.92 black  female   control 1987-04-10 2016-02-07
61 69 70.66 143.43 red  female   treatment 1989-11-02 2016-11-17
5 8 68.69 132.83 yellow    male control 1995-09-16 2016-12-07
32 2 51.02 76.97 blue  female   treatment 1987-01-06 2015-05-28
56 64 99.13 110.5 black unspecified    treatment 1979-04-19 2016-09-11
60 38 80.59 111.31 black  female   treatment 1996-04-27 2015-01-09
83 61 64.3 90.59 green  female   treatment 1989-12-12 2016-11-04
35 46 38.13 80.78 green  female   treatment 1988-09-11 2016-01-30
85 15 41.9 82.78 red  female   treatment 1976-07-06 2016-08-09
37 50 86.37 108.47 black unspecified    control 1990-12-01 2015-07-28
90 42 85.39 91.11 black unspecified    treatment 1980-09-27 2015-05-17
33 54 62.84 147.1 blue unspecified    control 1976-10-17 2016-01-29
89 71 70.15 121.74 black    male treatment 1982-10-22 2016-02-01
39 37 99.9 93.96 green unspecified    control 1984-08-06 2016-04-30
71 53 88.85 87.68 black    male treatment 1998-10-07 2015-06-14
91 10 68.24 130.89 blue unspecified    treatment 1982-12-04 2015-07-07
23 11 62.4 89.49 black unspecified    control 1981-12-09 2015-09-05
73 39 74.13 103.64 blue  female   treatment 1979-11-27 2016-03-15
28 13 54.61 98.19 blue    male treatment 1977-03-24 2015-01-17
40 18 54.32 121.15 blue  female   treatment 1976-07-21 2015-05-29
2 62 86.47 83.13 green  female   treatment 1980-08-20 2015-01-22
41 48 54.91 168.87 black  female   treatment 1980-12-19 2015-07-17
54 56 64.25 138.5 red  female   treatment 1982-11-15 2016-02-06
43 35 74.57 70.91 green  female   treatment 1997-10-24 2016-10-23
86 72 88.83 77.79 yellow    male treatment 1996-01-17 2015-01-15
63 66 79.25 86.74 green    male treatment 1996-04-09 2016-05-04
8 57 100.19 83.47 blue unspecified    control 1982-02-16 2015-09-03
88 12 99.47 100.03 blue unspecified    control 1989-06-14 2016-08-25
